Autor;Ano;Emenda;UF;Município;Codigo_IBGE;Favorecido;Ação;Área;Objeto;Contato (Nome);Contato (Tel);Valor (R$)
Jean Paul Prates;2020;38860001-2020;RN;Tibau;2411056.0;Município;Apoio A Projetos de Infraestrutura Turística-No Estado do Rio Grande do Norte;Comércio e serviços;Construção de Praça Pública no municipio de Tibau/RN;Vazio;Vazio;R$ 238.856,00
Jean Paul Prates;2020;38860001-2020;RN;Ouro Branco;2408508.0;Município;Apoio A Projetos de Infraestrutura Turística-No Estado do Rio Grande do Norte;Comércio e serviços;Construção de Terminal Rodoviário Intermunicipal no Município de Ouro Branco/RN.;Vazio;Vazio;R$ 238.856,00
Jean Paul Prates;2020;38860001-2020;RN;Florânia;2403806.0;Município;Apoio A Projetos de Infraestrutura Turística-No Estado do Rio Grande do Norte;Comércio e serviços;Construção de Praça no Município de de Florânia/RN.;Vazio;Vazio;R$ 238.856,00
Jean Paul Prates;2020;38860001-2020;RN;Luís Gomes;2407005.0;Município;Apoio A Projetos de Infraestrutura Turística-No Estado do Rio Grande do Norte;Comércio e serviços;Pavimentação de Acesso ao Alto do Tabor no Município de Luis Gomes/RN.;Vazio;Vazio;R$ 238.856,00
Jean Paul Prates;2020;38860001-2020;DF;Brasília;;Caixa Econômica Federal;Apoio A Projetos de Infraestrutura Turística-No Estado do Rio Grande do Norte;Comércio e serviços;;Vazio;Vazio;R$ 43.018,04
Jean Paul Prates;2020;38860001-2020;;;;Imposto/Contribuição;Apoio A Projetos de Infraestrutura Turística-No Estado do Rio Grande do Norte;Comércio e serviços;;Vazio;Vazio;R$ 955,42
Jean Paul Prates;2021;38860001-2021;RN;Natal;2408102.0;Secretaria de Estado da Agricultura, da Pecuária;Fomento À Produção Pesqueira e Aquícola-No Estado do Rio Grande do Norte;Agricultura;Fortalecimento da cadeia produtiva da pesca artesanal no Rio Grande do Norte com a entrega de kits de apetrechos para fomento da atividade.;Vazio;Vazio;R$ 214.875,00
Jean Paul Prates;2022;38860001-2022;RN;Itaú;2404903.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 300.000,00
Jean Paul Prates;2022;38860001-2022;RN;São Gonçalo do Amarante;2412005.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 250.000,00
Jean Paul Prates;2022;38860001-2022;RN;Macaíba;2407104.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 200.000,00
Jean Paul Prates;2022;38860001-2022;RN;São Miguel do Gostoso;2412559.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 200.000,00
Jean Paul Prates;2022;38860001-2022;RN;Jaçanã;2405009.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 200.000,00
Jean Paul Prates;2022;38860001-2022;RN;Santo Antônio;2411502.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 200.000,00
Jean Paul Prates;2022;38860001-2022;RN;Serra de São Bento;2413300.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 200.000,00
Jean Paul Prates;2022;38860001-2022;RN;Rodolfo Fernandes;2411007.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 200.000,00
Jean Paul Prates;2022;38860001-2022;RN;São Vicente;2413003.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Campo Redondo;2402105.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Riacho de Santana;2410801.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Areia Branca;2401107.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Rafael Fernandes;2410504.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Doutor Severiano;2403202.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;São José do Campestre;2412302.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Jandaíra;2405108.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Porto do Mangue;2410256.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Sítio Novo;2413706.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Timbaúba dos Batistas;2414308.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Umarizal;2414506.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Paraná;2408607.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;São Miguel;2412500.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Taipu;2413904.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Serrinha;2413508.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Água Nova;2400406.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2022;38860001-2022;RN;Triunfo Potiguar;2414456.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 138.845,00
Jean Paul Prates;2022;38860001-2022;RN;Janduís;2405207.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 130.000,00
Jean Paul Prates;2022;38860001-2022;RN;Pedro Avelino;2409704.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 120.000,00
Jean Paul Prates;2022;38860001-2022;RN;Lucrécia;2406908.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 100.000,00
Jean Paul Prates;2022;38860001-2022;RN;Baraúna;2401453.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Primária À Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 100.000,00
Jean Paul Prates;2020;38860002-2020;RN;Currais Novos;2403103.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 250.000,00
Jean Paul Prates;2020;38860002-2020;RN;Parelhas;2408904.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 250.000,00
Jean Paul Prates;2020;38860002-2020;RN;Assú;2400208.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 200.000,00
Jean Paul Prates;2020;38860002-2020;RN;Doutor Severiano;2403202.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 200.000,00
Jean Paul Prates;2020;38860002-2020;RN;São Gonçalo do Amarante;2412005.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 180.000,00
Jean Paul Prates;2020;38860002-2020;RN;Olho-D'Água do Borges;2408409.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2020;38860002-2020;RN;Caraúbas;2402303.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2020;38860002-2020;RN;Jandaíra;2405108.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2020;38860002-2020;RN;Lucrécia;2406908.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2020;38860002-2020;RN;Porto do Mangue;2410256.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2020;38860002-2020;RN;Caiçara do Norte;2401859.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
